이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
신대환,남성,010-1284-9831,,83,80,176cm,2018년 01월 30일,2018년 01월 30일,아니오,월 2회,0개월,아니요
홍서우,여성,01077647511,35,0,0,169,2018년 01월 10일,2018년 01월 10일,아니오,주 1회,3개월,아니요
오한율,남성,010-4364-6574,,86,81,0,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,3개월,예
안호영,남성,01031368867,32,81,79,174,2018년 01월 24일,2018년 01월 24일,아니오,월 2회,0개월,아니요
김승준,남성,01074532514,33,79 kg,73 kg,171,2018년 02월 17일,2018년 02월 17일,예,주 1회,0개월,아니요
황성훈,남성,unknown,,75,69,181,2018년 01월 11일,2018년 02월 04일,아니오,주 2회,6개월,아니요
임슬미,여성,01096839476,27,56,51,172,2018년 01월 07일,2018년 01월 07일,예,월 1회,0개월,아니요
유시현,male,unknown,40,85,76,0,2018년 02월 27일,2018년 05월 14일,아니오,안 마심,0개월,아니요
류효찬,남성,01043278864,35,0,0,183,2018년 01월 28일,2018년 03월 09일,아니오,안 마심,0개월,아니요
유수지,여성,01096314371,,60,57,171,2018년 01월 30일,2018년 05월 08일,아니오,월 2회,0개월,아니요
서채현,여,010-9669-1559,112,24,16,162,2018년 01월 03일,2018년 01월 06일,예,월 1회,0개월,아니요
한솔아,Female,010-2755-4323,38,58 kg,52 kg,168,2018년 02월 08일,2018년 04월 28일,아니오,월 2회,3개월,아니요
양수진,Female,01074756219,25,61,52,177,2018년 02월 02일,2018년 04월 08일,아니오,월 1회,0개월,아니요
허태원,남,010-9917-1186,,79 kg,71 kg,173cm,2018년 01월 01일,2018년 01월 01일,예,월 2회,0개월,아니요
황세준,남성,010-7475-4171,31,85 kg,83 kg,176 cm,2018년 02월 22일,2018년 02월 22일,아니오,월 1회,3개월,아니요
허동한,Male,010-2764-1171,38세,80 kg,79 kg,176,2018년 01월 29일,2018년 01월 29일,예,월 2회,0개월,아니요
고슬비,여,010-3935-3543,29,60,52,171,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,6개월,아니요
서채우,여성,010-1639-8693,35,59,57,171,2018년 01월 25일,2018년 01월 25일,예,주 1회,3개월,아니요
양지빈,여,01084583433,34,60kg,54kg,166,2018년 02월 11일,2018년 04월 07일,예,월 1회,0개월,아니요
강윤찬,남,010-1579-2626,18,0,0,173,2018년 02월 07일,2018년 02월 07일,예,월 2회,0개월,아니요
윤세준,남성,01016873483,36,79,78,172,2018년 01월 28일,2018년 01월 28일,아니오,주 2회,0개월,아니요
이소정,여,01072327596,,62kg,59kg,165,2018년 02월 16일,2018년 02월 16일,예,월 1회,3개월,예
서세희,여,01068889467,37세,24,15,172,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,아니요
윤지연,여,unknown,35,63,59,175,2018년 02월 02일,2018년 02월 02일,아니오,월 1회,12개월,아니요
안대규,남,01062337428,30,85kg,83kg,181,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,6개월,아니요
고도율,남,01062917766,39,79 kg,72 kg,180,2018년 01월 18일,2018년 02월 06일,아니오,주 1회,0개월,아니요
오채연,여성,01092854561,,56 kg,52 kg,161,2018년 02월 18일,2018년 02월 18일,예,안 마심,0개월,예
백주호,남성,010-9294-1116,36,80,70,175cm,2018년 01월 08일,2018년 01월 08일,예,안 마심,3개월,아니요
조윤호,남,010-8211-6735,40,76,75,180 cm,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,아니요
배승빈,남성,010-4797-3975,33,85kg,80kg,187,2018년 01월 03일,2018년 01월 03일,아니오,안 마심,3개월,아니요
문재현,남성,010-9479-9447,23,76,69,179cm,2018년 02월 24일,2018년 02월 24일,아니오,월 2회,3개월,아니요
신영후,남,01054535121,33,80,77,182,2018년 01월 09일,2018년 02월 25일,예,월 2회,0개월,아니요
최초영,여성,01097987271,,58,48,166,2018년 02월 14일,2018년 03월 14일,예,월 2회,3개월,아니요
배서환,남성,010-1453-5171,33,76 kg,69 kg,176,2018년 02월 06일,2018년 02월 06일,아니오,월 1회,0개월,아니요
박채아,여,010-8747-2798,42,60 kg,52 kg,158,2018년 01월 07일,2018년 01월 07일,아니오,주 1회,3개월,아니요
조장원,남성,010-6459-3623,45,75,67,173cm,2018년 02월 05일,2018년 02월 05일,아니오,안 마심,0개월,아니요
박태환,남성,010-8392-3695,38,80,73,184 cm,2018년 02월 03일,2018년 03월 07일,아니오,월 2회,12개월,아니요
조영준,male,010-1238-6366,,79,76,0,2018년 01월 18일,2018년 01월 18일,예,주 1회,0개월,아니요
백한수,남성,010-3256-2613,45,0,0,185 cm,2018년 01월 08일,2018년 01월 08일,아니오,월 1회,0개월,아니요
조시준,남,01037247244,41 세,80,74,170,2018년 02월 16일,2018년 03월 02일,아니오,안 마심,0개월,예
오채슬,여성,01083874394,30,56,52,165,2018년 01월 10일,2018년 03월 12일,아니오,주 1회,0개월,아니요
임유준,남성,01055475462,46,83,73,0,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
안슬빈,여성,01078248956,34,62,55,162,2018년 01월 02일,2018년 01월 02일,예,주 1회,0개월,아니요
정우진,남성,010-1858-9492,35,84,80,178,2018년 02월 07일,2018년 04월 03일,아니오,월 2회,0개월,아니요
이민성,남성,010-6151-3816,34 세,87,80,178,2018년 02월 15일,2018년 02월 15일,아니오,주 2회,0개월,아니요
최윤찬,남,01062776131,36세,0,0,177,2018년 02월 04일,2018년 02월 04일,예,주 1회,0개월,아니요
임호영,male,010-7554-2215,30,80kg,75kg,185,2018년 02월 01일,2018년 02월 01일,예,주 1회,0개월,아니요
허수민,남성,unknown,35,81,76,180,2018년 01월 04일,2018년 01월 04일,예,월 2회,0개월,아니요
강대규,남성,01068328831,30,83,81,173 cm,2018년 02월 24일,2018년 02월 24일,예,안 마심,0개월,아니요
황지예,female,01028628351,27,63,57,162,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,0개월,아니요
배원준,남,010-4828-9242,25,86,85,178 cm,2018년 02월 01일,2018년 03월 24일,아니오,주 1회,0개월,아니요
배원혁,남성,010-9145-3681,30,83,79,179,2018년 01월 29일,2018년 01월 29일,아니오,월 2회,0개월,아니요
손성한,남,unknown,32,83 kg,78 kg,0,2018년 01월 19일,2018년 01월 19일,아니오,월 2회,0개월,아니요
한채아,여성,010-4287-7172,,60,53,166,2018년 02월 21일,2018년 02월 21일,예,월 1회,0개월,아니요
송성훈,남성,010-1981-4325,,79,69,175 cm,2018년 01월 30일,2018년 01월 30일,아니오,주 2회,0개월,아니요
배원우,남성,01078184835,34,78,69,209,2018년 02월 06일,2018년 02월 06일,예,안 마심,3개월,아니요
김한율,남성,01011154361,41 세,0,0,170 cm,2018년 01월 03일,2018년 01월 03일,아니오,주 1회,0개월,아니요
조채솔,여,010-9395-2828,115,0,0,164,2018년 02월 12일,2018년 02월 12일,아니오,안 마심,0개월,예
서솔희,여성,01032699323,29,63kg,53kg,165,2018년 01월 08일,2018년 02월 06일,아니오,월 1회,0개월,아니요
이슬윤,여성,010-5854-2266,23,60,57,164,2018년 02월 07일,2018년 02월 07일,아니오,주 1회,0개월,아니요
손연재,남,010-6489-7315,36,80,71,0,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
신지선,여성,01021694286,34,0,0,164,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
김영재,남성,01077835979,38,77,71,0,2018년 02월 24일,2018년 03월 20일,예,주 1회,3개월,아니요
임세아,여,010-8558-5245,23,59,53,193,2018년 02월 19일,2018년 02월 19일,아니오,월 2회,3개월,예
조승연,여,01078392345,30,62,58,171,2018년 02월 11일,2018년 02월 11일,아니오,주 1회,0개월,예
배선우,남성,010-4692-8237,30,80,79,181,2018년 02월 25일,2018년 02월 25일,아니오,주 1회,0개월,예
권지선,여성,01011718684,38,65,57,164,2018년 01월 15일,2018년 01월 17일,아니오,주 2회,0개월,아니요
백성민,남성,01018163234,38,0,0,0,2018년 02월 12일,2018년 02월 12일,예,주 2회,0개월,아니요
서진혁,male,01091953658,38,140,130,181,2018년 01월 11일,2018년 01월 29일,아니오,월 2회,0개월,아니요
홍초연,여성,01072822959,,62,58,164,2018년 02월 04일,2018년 03월 19일,아니오,안 마심,0개월,아니요
배현호,Male,010-6462-8357,42,77,72,169,2018년 01월 26일,2018년 01월 26일,예,월 1회,3개월,아니요
조도훈,남성,010-1684-2811,,82,76,180,2018년 01월 18일,2018년 01월 18일,아니오,안 마심,0개월,아니요
허태윤,남,010-9491-4869,23,78 kg,70 kg,0,2018년 01월 19일,2018년 01월 19일,예,주 2회,0개월,아니요
류수애,여성,01083772864,34,56,55,178,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,아니요
한소은,여,010-7214-4849,31,53,51,165,2018년 01월 07일,2018년 01월 07일,아니오,주 1회,0개월,예
신우준,Male,01031353163,34,0,0,181,2018년 02월 24일,2018년 02월 24일,아니오,주 1회,12개월,아니요
고이안,male,01051987563,27,0,0,175,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
전희성,남,01016142934,31,0,0,181 cm,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,0개월,아니요
조시우,남성,010-4573-9111,40,79,75,178,2018년 02월 28일,2018년 02월 28일,아니오,안 마심,3개월,아니요
황성엽,남성,01085164676,32 세,82,81,0,2018년 01월 28일,2018년 02월 11일,아니오,주 1회,0개월,아니요
장슬비,여,01062854732,26,62,61,166,2018년 02월 12일,2018년 02월 12일,아니오,월 1회,0개월,예
이승후,male,010-8193-2198,25,86,78,179,2018년 01월 16일,2018년 01월 16일,예,주 1회,0개월,아니요
안은규,남성,01061483499,43,83,73,175cm,2018년 02월 06일,2018년 03월 06일,아니오,주 2회,6개월,아니요
신민승,남성,010-3196-4747,31,78,74,0,2018년 01월 08일,2018년 03월 27일,아니오,안 마심,0개월,아니요
백재준,male,010-9639-8927,25,82,77,171,2018년 02월 02일,2018년 02월 02일,아니오,월 1회,0개월,아니요
류영준,남,010-8626-2235,36,79,75,177cm,2018년 02월 14일,2018년 02월 14일,아니오,월 1회,0개월,아니요
최준우,Male,010-3488-6928,38,83 kg,79 kg,175 cm,2018년 01월 25일,2018년 01월 25일,아니오,월 2회,0개월,아니요
조윤일,male,010-4467-6615,43,85,79,174,2018년 02월 22일,2018년 06월 01일,아니오,월 2회,0개월,아니요
고재성,남성,010-5943-5965,38,80,78,180,2018년 02월 18일,2018년 02월 18일,아니오,월 1회,0개월,아니요
배성희,여성,01015375868,23,57,50,170,2018년 02월 25일,2018년 03월 13일,아니오,월 1회,3개월,아니요
강채윤,여,010-8224-9971,38,59,53,160,2018년 01월 29일,2018년 01월 29일,아니오,주 2회,0개월,아니요
배슬아,female,010-1717-5111,27,57kg,51kg,175,2018년 02월 28일,2018년 03월 17일,아니오,월 1회,0개월,아니요
신서주,여성,010-9987-1897,31,63,53,162,2018년 02월 04일,2018년 02월 04일,아니오,월 2회,6개월,아니요
한태연,남성,010-8387-3912,43,80,76,180,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,0개월,아니요
송서혜,여성,010-8643-8379,23 세,61,60,172,2018년 01월 23일,2018년 01월 23일,아니오,주 1회,0개월,아니요
장세빈,female,010-4219-1517,27,53kg,51kg,169 cm,2018년 01월 23일,2018년 01월 23일,아니오,월 2회,6개월,아니요
최소정,여,010-3244-2843,31,0,0,169,2018년 02월 02일,2018년 04월 06일,아니오,월 2회,3개월,아니요
김도원,남성,010-8667-5324,28 세,0,0,181,2018년 02월 25일,2018년 02월 25일,아니오,월 2회,3개월,아니요
최재현,남성,010-6948-9814,38,80,70,174,2018년 01월 31일,2018년 03월 17일,아니오,월 2회,0개월,아니요
안동혜,남성,010-9284-2364,36,76,66,174,2018년 02월 25일,2018년 02월 25일,예,안 마심,0개월,아니요
신송빈,남성,010-9873-5811,,84,80,181,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
정동한,남성,010-1416-2763,37,77,71,175,2018년 02월 09일,2018년 02월 09일,예,월 2회,0개월,아니요
배선아,Female,010-3996-1659,26,61,56,0,2018년 02월 04일,2018년 02월 04일,아니오,주 1회,0개월,아니요
조서아,여,01064283476,29,57,49,164,2018년 01월 06일,2018년 01월 06일,아니오,월 2회,0개월,아니요
양성연,여,010-8638-8133,32,62,59,168,2018년 02월 28일,2018년 02월 28일,아니오,주 1회,3개월,아니요
김장우,male,010-1775-8774,39,80,79,174,2018년 02월 16일,2018년 02월 16일,아니오,월 2회,0개월,아니요
한채현,여성,010-4453-3193,31,55,45,0,2018년 02월 16일,2018년 04월 20일,아니오,월 2회,0개월,아니요
오서안,여성,01086146338,,61,56,247,2018년 02월 21일,2018년 02월 21일,아니오,안 마심,0개월,예
조민기,남성,010-9413-6243,39,79,76,172,2018년 01월 27일,2018년 01월 31일,아니오,월 2회,3개월,아니요
장슬희,여,01071123567,27,58 kg,49 kg,168,2018년 01월 28일,2018년 03월 29일,아니오,주 2회,0개월,아니요
홍성현,남성,010-8351-7851,,82,81,178,2018년 01월 10일,2018년 01월 10일,예,월 1회,12개월,아니요
류영준,남,010-2517-8149,26,79,72,178,2018년 01월 27일,2018년 01월 27일,아니오,월 2회,0개월,아니요
서윤찬,male,01098662765,30,76,71,183,2018년 01월 02일,2018년 01월 02일,아니오,월 2회,3개월,아니요
백태윤,남,010-1774-2231,43,78,77,174,2018년 01월 20일,2018년 04월 05일,아니오,월 2회,0개월,아니요
임성은,여성,010-3259-9344,26,59,53,160,2018년 02월 20일,2018년 02월 20일,예,월 1회,3개월,아니요
고민기,남성,01043762228,39,0,0,172,2018년 01월 31일,2018년 01월 31일,아니오,월 1회,0개월,아니요
전재혁,남성,010-8552-6382,31,83,76,180,2018년 01월 17일,2018년 02월 10일,아니오,월 2회,3개월,아니요
안성준,남,010-6426-7965,30,81,76,174,2018년 02월 15일,2018년 02월 15일,예,안 마심,0개월,예
이슬빈,여성,010-5951-8633,30 세,58,53,171,2018년 02월 24일,2018년 02월 24일,아니오,월 2회,0개월,아니요
장준일,남,01076619626,34,79,69,184,2018년 01월 02일,2018년 01월 02일,아니오,월 2회,0개월,아니요
홍수훈,남성,01042775565,39,78,76,166cm,2018년 01월 24일,2018년 01월 24일,아니오,월 2회,3개월,아니요
류수아,여성,01024379727,33,61,52,226,2018년 02월 08일,2018년 04월 17일,아니오,안 마심,0개월,예
정세현,female,010-9744-8716,41,62,60,0,2018년 01월 31일,2018년 01월 31일,아니오,월 2회,0개월,아니요
최성연,여성,010-6236-7857,37,61,53,170,2018년 01월 07일,2018년 01월 07일,아니오,월 2회,0개월,아니요
김대규,남성,010-2441-3191,33,80,75,189 cm,2018년 02월 09일,2018년 02월 09일,아니오,주 2회,0개월,아니요
배슬미,여,010-6967-2496,,59,54,175,2018년 01월 16일,2018년 01월 16일,예,주 1회,3개월,아니요
전동은,남성,010-4446-1225,32,81,79,177,2018년 01월 13일,2018년 04월 20일,예,월 1회,0개월,아니요
백솔빈,여성,010-7466-7831,37세,55,52,166,2018년 01월 11일,2018년 01월 11일,아니오,월 2회,0개월,아니요
허서빈,남,unknown,34,83,80,0,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,0개월,아니요
장선정,여성,01084929222,,66,60,171,2018년 02월 04일,2018년 02월 04일,예,주 1회,0개월,아니요
안초영,여,010-2141-4226,39,59,52,165 cm,2018년 01월 04일,2018년 01월 04일,아니오,월 1회,3개월,아니요
황초민,Female,01031665448,29,56,55,164,2018년 01월 12일,2018년 01월 12일,아니오,주 1회,0개월,아니요
홍시율,남성,010-7778-5483,40,83 kg,77 kg,174,2018년 01월 02일,2018년 02월 14일,아니오,월 2회,0개월,아니요
이초현,FEMALE,010-4544-9491,33,0,0,171,2018년 02월 03일,2018년 02월 03일,아니오,월 2회,3개월,아니요
이민기,남,010-1851-6423,32,87,85,174cm,2018년 01월 12일,2018년 01월 12일,예,주 1회,6개월,아니요
김동원,남성,010-1756-9431,26,83,74,171,2018년 01월 29일,2018년 01월 29일,아니오,주 1회,6개월,아니요
유대환,남,01065484425,,78,75,0,2018년 01월 18일,2018년 02월 02일,아니오,주 1회,3개월,아니요
고서준,남,010-7719-7764,32,83kg,74kg,174,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,0개월,아니요
조도영,남,01012163362,,0,0,176,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,0개월,아니요
백시원,male,010-8892-7426,,80,78,177,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
고수현,여성,01054363744,27,60,50,167,2018년 02월 25일,2018년 02월 25일,예,월 1회,12개월,예
허윤찬,남,010-3966-7913,,79,76,179,2018년 01월 16일,2018년 01월 16일,아니오,월 2회,0개월,아니요
황솔비,female,010-7415-2728,32,62,58,172,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
권동영,남성,010-3559-3747,32,77kg,75kg,176cm,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,0개월,아니요
황채설,여성,unknown,36,57,47,0,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,0개월,아니요
문지효,여성,010-6842-7344,26,61,51,170,2018년 01월 23일,2018년 03월 12일,아니오,안 마심,3개월,아니요
이수한,남성,010-1731-2332,34,82,72,167cm,2018년 01월 30일,2018년 01월 30일,아니오,월 2회,12개월,아니요
오장완,Male,unknown,36,83,77,0,2018년 01월 25일,2018년 03월 08일,아니오,주 2회,0개월,아니요
양장우,남성,010-9965-7621,34,78,71,177,2018년 02월 03일,2018년 02월 03일,아니오,안 마심,0개월,아니요
임도율,남,010-4377-5526,32,78,68,177,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,아니요
강송빈,남,01028195344,33,78,73,171,2018년 02월 25일,2018년 02월 25일,아니오,월 1회,0개월,아니요
정민국,남,010-8542-6553,33,83,75,180 cm,2018년 02월 27일,2018년 02월 27일,아니오,안 마심,0개월,아니요
조수희,여,010-1559-1424,30,63,62,162,2018년 01월 22일,2018년 03월 15일,아니오,주 1회,0개월,아니요
정소희,female,010-5678-6684,32,57 kg,49 kg,167,2018년 02월 09일,2018년 02월 09일,아니오,월 2회,0개월,아니요
전윤태,남성,010-9315-8395,35,82,77,0,2018년 02월 16일,2018년 02월 16일,아니오,월 2회,6개월,아니요
이찬영,남,010-7526-9636,34,31,22,178,2018년 01월 12일,2018년 04월 07일,아니오,월 2회,0개월,아니요
조동원,남성,010-9869-1616,29,76,67,177,2018년 02월 21일,2018년 02월 21일,아니오,월 1회,0개월,예
고준혁,남성,010-3349-4798,,82kg,80kg,175 cm,2018년 02월 14일,2018년 02월 14일,예,주 1회,6개월,아니요
윤슬미,여성,010-1691-6122,33,59,58,169,2018년 02월 15일,2018년 03월 24일,아니오,월 1회,3개월,아니요
한태연,남성,010-2175-7128,29,80,78,179,2018년 02월 25일,2018년 02월 25일,아니오,월 2회,0개월,아니요
이채유,여성,010-4686-9263,31 세,142,137,0,2018년 01월 21일,2018년 01월 29일,아니오,주 1회,0개월,예
손동연,male,010-3564-6396,36세,78,70,171cm,2018년 02월 01일,2018년 02월 01일,아니오,주 1회,3개월,예
안슬미,여,010-2278-8768,34,58,53,170,2018년 02월 25일,2018년 02월 25일,예,주 2회,0개월,아니요
권지율,female,01014341596,37 세,59,56,170,2018년 02월 04일,2018년 02월 04일,아니오,월 1회,3개월,아니요
서민승,male,010-2549-2439,38,81kg,77kg,181,2018년 02월 01일,2018년 02월 01일,아니오,월 2회,0개월,아니요
한동인,남,010-9244-7724,,82,80,177,2018년 01월 28일,2018년 01월 28일,아니오,월 1회,0개월,아니요
조송혁,남성,010-8139-4175,29,140,133,176,2018년 02월 25일,2018년 02월 25일,아니오,월 2회,3개월,아니요
오윤준,남,010-3597-4651,28,84,83,177,2018년 02월 05일,2018년 02월 05일,아니오,월 2회,0개월,아니요
문동율,남,01075537713,32,74,69,173,2018년 02월 24일,2018년 02월 24일,아니오,월 1회,0개월,아니요
홍동인,남성,010-7382-9114,32,78kg,74kg,180 cm,2018년 02월 25일,2018년 02월 25일,아니오,월 1회,0개월,아니요
양윤후,남성,010-6612-4135,27,79kg,77kg,177,2018년 01월 08일,2018년 03월 25일,아니오,월 1회,0개월,아니요
문승호,남성,01011929329,39,83,74,180,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,3개월,예
서소연,여성,010-4372-1719,33,61,58,161,2018년 02월 20일,2018년 02월 20일,아니오,월 2회,3개월,아니요
전윤성,남성,010-8994-8839,,76 kg,71 kg,179,2018년 01월 29일,2018년 01월 29일,아니오,월 1회,6개월,아니요
신동현,남성,01067728827,27,78,77,184,2018년 01월 13일,2018년 02월 14일,아니오,월 1회,0개월,아니요
류슬비,여성,01085653883,20,59,49,170,2018년 02월 16일,2018년 02월 18일,아니오,월 2회,0개월,아니요
류수훈,남성,010-7783-9947,39,84,77,172cm,2018년 01월 17일,2018년 01월 17일,아니오,월 2회,0개월,아니요
고은후,남,010-1934-4113,29,76,73,177,2018년 01월 15일,2018년 01월 15일,아니오,주 1회,0개월,아니요
배솔지,여성,010-8595-5563,24,65,58,168,2018년 01월 15일,2018년 04월 14일,아니오,월 1회,0개월,아니요
조소연,여,010-7179-4613,32,63kg,59kg,174,2018년 01월 30일,2018년 01월 30일,아니오,월 2회,0개월,아니요
배솔희,여,01039531728,32,60,55,162cm,2018년 01월 09일,2018년 01월 29일,아니오,주 1회,0개월,아니요
강재현,남,01018397783,33,80,77,177,2018년 02월 07일,2018년 04월 18일,아니오,주 1회,0개월,아니요
홍영준,남,010-2619-4212,,82 kg,80 kg,176,2018년 02월 05일,2018년 02월 21일,아니오,주 1회,3개월,아니요
양채민,남성,010-1968-6613,25,80,72,178 cm,2018년 01월 23일,2018년 01월 23일,아니오,주 1회,6개월,아니요
박성엽,male,010-7918-1121,22,79,77,164,2018년 02월 14일,2018년 04월 23일,아니오,안 마심,0개월,아니요
백세진,여성,unknown,23,62,54,163,2018년 02월 07일,2018년 05월 02일,아니오,주 1회,0개월,아니요
최유신,남성,010-2288-1868,,80,74,169,2018년 01월 26일,2018년 02월 14일,아니오,주 2회,0개월,아니요
양서진,남성,unknown,42,82,79,174 cm,2018년 01월 21일,2018년 02월 16일,아니오,주 1회,0개월,아니요
서성민,Male,010-5821-9597,30 세,79,75,0,2018년 02월 26일,2018년 02월 26일,아니오,주 2회,0개월,아니요
배선영,Female,01065934192,32,0,0,164,2018년 02월 24일,2018년 02월 24일,아니오,월 2회,0개월,아니요
권윤진,남,010-2668-6954,32,76 kg,75 kg,0,2018년 02월 12일,2018년 02월 12일,예,주 1회,0개월,아니요
장장훈,MALE,01046244792,8,0,0,175 cm,2018년 02월 16일,2018년 04월 18일,예,주 1회,0개월,아니요
손진호,male,010-3657-6447,37,81,76,177,2018년 01월 26일,2018년 02월 10일,아니오,월 1회,0개월,아니요
장동해,남성,unknown,33세,76 kg,74 kg,174,2018년 01월 10일,2018년 04월 05일,아니오,월 2회,0개월,아니요
강세희,여성,010-4439-3257,,58,48,166,2018년 02월 27일,2018년 02월 27일,아니오,주 2회,0개월,아니요
허서혜,여성,01024996788,30,0,0,181,2018년 02월 18일,2018년 04월 29일,예,월 1회,6개월,아니요
신슬미,여,010-5259-6565,34,63,58,175,2018년 01월 13일,2018년 02월 17일,아니오,주 1회,0개월,아니요
서채정,Female,01052941988,37,65,61,169,2018년 02월 11일,2018년 03월 06일,아니오,월 2회,0개월,아니요
황윤후,male,01017972558,30세,81,75,119,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,3개월,아니요
오세빈,여성,unknown,30,0,0,166,2018년 01월 30일,2018년 01월 30일,아니오,안 마심,0개월,아니요
임동영,남성,unknown,36,77,75,187,2018년 01월 20일,2018년 01월 20일,예,월 2회,0개월,아니요
임재원,남성,010-2216-6227,29,0,0,179,2018년 02월 12일,2018년 02월 12일,아니오,월 2회,0개월,아니요
유시후,남,01033284928,35,80 kg,71 kg,177,2018년 02월 01일,2018년 03월 14일,아니오,주 1회,0개월,아니요
신준우,남성,010-8569-5955,36,82,79,174 cm,2018년 02월 02일,2018년 02월 18일,아니오,월 2회,0개월,아니요
강슬미,여성,01039824889,29,54,48,172,2018년 02월 18일,2018년 02월 18일,예,주 1회,0개월,아니요
허채하,여,010-5926-5431,37,55,49,165cm,2018년 01월 26일,2018년 01월 26일,아니오,주 2회,0개월,아니요
오도윤,Male,01097278893,31 세,0,0,179,2018년 02월 06일,2018년 02월 06일,아니오,안 마심,0개월,아니요
권영후,남,010-8767-2352,31세,147 kg,142 kg,168,2018년 01월 15일,2018년 01월 15일,예,주 1회,3개월,아니요
박승호,Male,01057858792,29세,81,75,174,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
신도현,남성,010-8554-5382,32,79,73,182,2018년 01월 18일,2018년 01월 18일,아니오,월 2회,0개월,아니요
류슬아,여,unknown,35,61,56,167,2018년 02월 17일,2018년 02월 17일,아니오,월 1회,6개월,아니요
홍슬빈,여성,010-8977-2228,40,0,0,173,2018년 01월 03일,2018년 01월 03일,아니오,월 2회,0개월,아니요
이선정,여성,010-8481-1747,27,61 kg,58 kg,172,2018년 01월 11일,2018년 01월 11일,예,주 1회,0개월,아니요
황아준,Male,01027956253,31 세,38kg,35kg,0,2018년 01월 13일,2018년 01월 13일,아니오,주 2회,0개월,아니요
고슬비,Female,010-5244-6956,33,59,50,164,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,예
유솔민,여,010-2147-2999,29,65,59,160,2018년 01월 13일,2018년 01월 13일,아니오,주 1회,3개월,아니요
이지연,여성,01093248582,34,58,55,0,2018년 01월 14일,2018년 02월 03일,아니오,주 1회,3개월,아니요
안찬혁,남,01039921794,29 세,79kg,69kg,178,2018년 02월 07일,2018년 02월 07일,아니오,안 마심,3개월,아니요
황선정,여성,01055396123,39 세,0,0,168,2018년 01월 04일,2018년 01월 04일,아니오,월 1회,0개월,아니요
박보성,남성,010-4636-7968,44,77,71,175,2018년 02월 09일,2018년 02월 09일,아니오,월 1회,0개월,아니요
한성현,남,010-3669-9287,36,83 kg,77 kg,176,2018년 02월 21일,2018년 02월 21일,예,안 마심,0개월,아니요
류성민,남,010-8724-1869,35,82,76,178,2018년 02월 12일,2018년 02월 12일,아니오,월 1회,0개월,아니요
권준호,남성,010-2551-3387,32,86,81,179,2018년 02월 14일,2018년 02월 14일,아니오,주 1회,0개월,아니요
이소은,여,010-7349-6214,25,59,55,167 cm,2018년 01월 26일,2018년 01월 26일,예,월 2회,0개월,아니요
황서연,여성,010-3532-4511,,0,0,170,2018년 02월 05일,2018년 02월 05일,아니오,주 1회,0개월,아니요
박예찬,남성,01075971953,36,82,79,169,2018년 01월 04일,2018년 01월 04일,예,주 2회,3개월,아니요
류슬아,여성,unknown,29 세,0,0,171,2018년 02월 28일,2018년 05월 11일,아니오,월 1회,3개월,아니요
조성율,남성,010-1941-9846,37,82 kg,75 kg,179cm,2018년 02월 23일,2018년 02월 23일,아니오,안 마심,12개월,예
송태윤,남성,010-5555-3359,100,83,74,167cm,2018년 02월 15일,2018년 02월 15일,아니오,월 2회,0개월,예
조태환,남,01088883427,32,83,74,172,2018년 01월 30일,2018년 01월 30일,예,월 1회,0개월,아니요
서대은,남성,01078958247,35,77 kg,75 kg,176,2018년 01월 31일,2018년 02월 16일,예,안 마심,0개월,아니요
박채빈,여,010-8967-1581,29,141,132,0,2018년 02월 02일,2018년 02월 02일,아니오,월 1회,0개월,아니요
양윤호,남성,010-5267-9395,30,80,75,178,2018년 01월 26일,2018년 02월 14일,아니오,월 2회,3개월,아니요
